Offender_ID,Victim_ID,FIR_ID,Relationship_Type
OFF01929,VIC02082,FIR00105,Direct Involvement
OFF01193,VIC01215,FIR00106,Repeat Offender
OFF01223,VIC00298,FIR00107,Repeat Offender
OFF00548,VIC02483,FIR00108,Repeat Offender
OFF01881,VIC02501,FIR00109,Known Associate
OFF01643,VIC00785,FIR00110,Direct Involvement
OFF01856,VIC02788,FIR00111,Repeat Offender
OFF01339,VIC02342,FIR00112,Known Associate
OFF00917,VIC00195,FIR00113,Known Associate
OFF01932,VIC02327,FIR00114,Known Associate
OFF01575,VIC02259,FIR00115,Direct Involvement
OFF01120,VIC02017,FIR00116,Direct Involvement
OFF01564,VIC00980,FIR00117,Direct Involvement
OFF01633,VIC00363,FIR00118,Direct Involvement
OFF00289,VIC02239,FIR00119,Repeat Offender
OFF01201,VIC02307,FIR00120,Repeat Offender
OFF01518,VIC01049,FIR00121,Direct Involvement
OFF00076,VIC01351,FIR00122,Known Associate
OFF00868,VIC02844,FIR00123,Repeat Offender
OFF01124,VIC01962,FIR00124,Direct Involvement
OFF00913,VIC01837,FIR00125,Known Associate
OFF00631,VIC00599,FIR00126,Direct Involvement
OFF00043,VIC02073,FIR00127,Known Associate
OFF01325,VIC01060,FIR00128,Repeat Offender
OFF00969,VIC00739,FIR00129,Direct Involvement
OFF00965,VIC02399,FIR00130,Repeat Offender
OFF00119,VIC00666,FIR00131,Direct Involvement
OFF00725,VIC00477,FIR00132,Repeat Offender
OFF01769,VIC02283,FIR00133,Known Associate
OFF01372,VIC02050,FIR00134,Repeat Offender
OFF01214,VIC01638,FIR00135,Repeat Offender
OFF01466,VIC01795,FIR00136,Repeat Offender
OFF01329,VIC02911,FIR00137,Direct Involvement
OFF00837,VIC01803,FIR00138,Direct Involvement
OFF01646,VIC00106,FIR00139,Repeat Offender
OFF01092,VIC02888,FIR00140,Repeat Offender
OFF01825,VIC00207,FIR00141,Known Associate
OFF00314,VIC00327,FIR00142,Direct Involvement
OFF00508,VIC00024,FIR00143,Known Associate
OFF00065,VIC02209,FIR00144,Repeat Offender
OFF00730,VIC00787,FIR00145,Repeat Offender
OFF01677,VIC02441,FIR00146,Known Associate
OFF01515,VIC01193,FIR00147,Known Associate
OFF00678,VIC00667,FIR00148,Direct Involvement
OFF00603,VIC00946,FIR00149,Repeat Offender
OFF00181,VIC00419,FIR00150,Known Associate
OFF00582,VIC00297,FIR00151,Repeat Offender
OFF00211,VIC00350,FIR00152,Direct Involvement
OFF00222,VIC00448,FIR00153,Repeat Offender
OFF00599,VIC02614,FIR00154,Direct Involvement
OFF00261,VIC01006,FIR00155,Direct Involvement
OFF00300,VIC02541,FIR00156,Known Associate
OFF01728,VIC02646,FIR00157,Direct Involvement
OFF01131,VIC00053,FIR00158,Repeat Offender
OFF01889,VIC02795,FIR00159,Direct Involvement
OFF00292,VIC01039,FIR00160,Known Associate
OFF00444,VIC01759,FIR00161,Direct Involvement
OFF00101,VIC02990,FIR00162,Known Associate
OFF01449,VIC00332,FIR00163,Direct Involvement
OFF00509,VIC00900,FIR00164,Known Associate
OFF01679,VIC00870,FIR00165,Direct Involvement
OFF01981,VIC01091,FIR00166,Known Associate
OFF01850,VIC01628,FIR00167,Repeat Offender
OFF00564,VIC00229,FIR00168,Known Associate
OFF01874,VIC01957,FIR00169,Repeat Offender
OFF00097,VIC01965,FIR00170,Repeat Offender
OFF01275,VIC01283,FIR00171,Direct Involvement
OFF01091,VIC01406,FIR00172,Repeat Offender
OFF01446,VIC02300,FIR00173,Repeat Offender
OFF00276,VIC01730,FIR00174,Known Associate
OFF00470,VIC00579,FIR00175,Direct Involvement
OFF01919,VIC02174,FIR00176,Direct Involvement
OFF01083,VIC00370,FIR00177,Repeat Offender
OFF01075,VIC00244,FIR00178,Repeat Offender
OFF00909,VIC01057,FIR00179,Direct Involvement
OFF00422,VIC00505,FIR00180,Known Associate
OFF01940,VIC00495,FIR00181,Repeat Offender
OFF00188,VIC01218,FIR00182,Repeat Offender
OFF01238,VIC00494,FIR00183,Direct Involvement
OFF01222,VIC01474,FIR00184,Known Associate
OFF01830,VIC00086,FIR00185,Repeat Offender
OFF01531,VIC02636,FIR00186,Direct Involvement
OFF01746,VIC00664,FIR00187,Repeat Offender
OFF01370,VIC02112,FIR00188,Direct Involvement
OFF01964,VIC02492,FIR00189,Repeat Offender
OFF00335,VIC02079,FIR00190,Direct Involvement
OFF00875,VIC01247,FIR00191,Repeat Offender
OFF00612,VIC02227,FIR00192,Direct Involvement
OFF00473,VIC00050,FIR00193,Repeat Offender
OFF01065,VIC00181,FIR00194,Direct Involvement
OFF00939,VIC02072,FIR00195,Repeat Offender
OFF01705,VIC00567,FIR00196,Repeat Offender
OFF01403,VIC00277,FIR00197,Repeat Offender
OFF01469,VIC01480,FIR00198,Known Associate
OFF01732,VIC01824,FIR00199,Known Associate
OFF00044,VIC02482,FIR00200,Known Associate
OFF01081,VIC01451,FIR00201,Direct Involvement
OFF00721,VIC00139,FIR00202,Known Associate
OFF00335,VIC00942,FIR00203,Direct Involvement
OFF01655,VIC02216,FIR00204,Repeat Offender
OFF00742,VIC01075,FIR00205,Known Associate
OFF00683,VIC00001,FIR00206,Direct Involvement
OFF00071,VIC00072,FIR00207,Known Associate
OFF01401,VIC00575,FIR00208,Known Associate
OFF01071,VIC00419,FIR00209,Known Associate
OFF00968,VIC01078,FIR00210,Known Associate
OFF01256,VIC00928,FIR00211,Known Associate
OFF00123,VIC01451,FIR00212,Known Associate
OFF01255,VIC02090,FIR00213,Repeat Offender
OFF01604,VIC01018,FIR00214,Repeat Offender
OFF00506,VIC00177,FIR00215,Known Associate
OFF00690,VIC00018,FIR00216,Known Associate
OFF00655,VIC01280,FIR00217,Known Associate
OFF01792,VIC00845,FIR00218,Known Associate
OFF00808,VIC01731,FIR00219,Direct Involvement
OFF01740,VIC00358,FIR00220,Known Associate
OFF00785,VIC00421,FIR00221,Known Associate
OFF00888,VIC02098,FIR00222,Repeat Offender
OFF01539,VIC01310,FIR00223,Direct Involvement
OFF00199,VIC00655,FIR00224,Known Associate
OFF00684,VIC00884,FIR00225,Direct Involvement
OFF01078,VIC00004,FIR00226,Direct Involvement
OFF00185,VIC01246,FIR00227,Known Associate
OFF00421,VIC02407,FIR00228,Known Associate
OFF00894,VIC02209,FIR00229,Direct Involvement
OFF01974,VIC01204,FIR00230,Repeat Offender
OFF00153,VIC00541,FIR00231,Repeat Offender
OFF01862,VIC02612,FIR00232,Repeat Offender
OFF00691,VIC00073,FIR00233,Known Associate
OFF00746,VIC00827,FIR00234,Known Associate
OFF00662,VIC02909,FIR00235,Known Associate
OFF01305,VIC00868,FIR00236,Known Associate
OFF01974,VIC02487,FIR00237,Direct Involvement
OFF00512,VIC00449,FIR00238,Direct Involvement
OFF01405,VIC01124,FIR00239,Known Associate
OFF01479,VIC01120,FIR00240,Known Associate
OFF00804,VIC01590,FIR00241,Repeat Offender
OFF01642,VIC00328,FIR00242,Repeat Offender
OFF00632,VIC01355,FIR00243,Known Associate
OFF01509,VIC01759,FIR00244,Repeat Offender
OFF01013,VIC01414,FIR00245,Direct Involvement
OFF00884,VIC00089,FIR00246,Repeat Offender
OFF01924,VIC02876,FIR00247,Direct Involvement
OFF01869,VIC02398,FIR00248,Known Associate
OFF00353,VIC00195,FIR00249,Direct Involvement
OFF00460,VIC02321,FIR00250,Direct Involvement
OFF00538,VIC01751,FIR00251,Known Associate
OFF01128,VIC02174,FIR00252,Direct Involvement
OFF00175,VIC00388,FIR00253,Direct Involvement
OFF01747,VIC00322,FIR00254,Repeat Offender
OFF01129,VIC02726,FIR00255,Direct Involvement
OFF00265,VIC00349,FIR00256,Known Associate
OFF00196,VIC00904,FIR00257,Known Associate
OFF00991,VIC00368,FIR00258,Direct Involvement
OFF00711,VIC00471,FIR00259,Known Associate
OFF00402,VIC02478,FIR00260,Repeat Offender
OFF00653,VIC02460,FIR00261,Known Associate
OFF01785,VIC01910,FIR00262,Direct Involvement
OFF00178,VIC00828,FIR00263,Known Associate
OFF00158,VIC00276,FIR00264,Repeat Offender
OFF00381,VIC00426,FIR00265,Direct Involvement
OFF01050,VIC00501,FIR00266,Direct Involvement
OFF01742,VIC01704,FIR00267,Direct Involvement
OFF01237,VIC02307,FIR00268,Known Associate
OFF00803,VIC01386,FIR00269,Direct Involvement
OFF01214,VIC02137,FIR00270,Repeat Offender
OFF00523,VIC00438,FIR00271,Known Associate
OFF01368,VIC02550,FIR00272,Known Associate
OFF01655,VIC00573,FIR00273,Known Associate
OFF00715,VIC01212,FIR00274,Direct Involvement
OFF01646,VIC02853,FIR00275,Known Associate
OFF00949,VIC00415,FIR00276,Repeat Offender
OFF01698,VIC01264,FIR00277,Repeat Offender
OFF01445,VIC00896,FIR00278,Direct Involvement
OFF01515,VIC00733,FIR00279,Direct Involvement
OFF01143,VIC02901,FIR00280,Direct Involvement
OFF00607,VIC02231,FIR00281,Direct Involvement
OFF01641,VIC00085,FIR00282,Repeat Offender
OFF01022,VIC01349,FIR00283,Known Associate
OFF00665,VIC02823,FIR00284,Direct Involvement
OFF00454,VIC00674,FIR00285,Direct Involvement
OFF00649,VIC02016,FIR00286,Known Associate
OFF01345,VIC02677,FIR00287,Repeat Offender
OFF00991,VIC01231,FIR00288,Repeat Offender
OFF00989,VIC01959,FIR00289,Repeat Offender
OFF01458,VIC00864,FIR00290,Repeat Offender
OFF01074,VIC02853,FIR00291,Direct Involvement
OFF01507,VIC00524,FIR00292,Direct Involvement
OFF00392,VIC01184,FIR00293,Known Associate
OFF01240,VIC02843,FIR00294,Repeat Offender
OFF00141,VIC00500,FIR00295,Repeat Offender
OFF00982,VIC01400,FIR00296,Direct Involvement
OFF00665,VIC00303,FIR00297,Direct Involvement
OFF01526,VIC00195,FIR00298,Repeat Offender
OFF00513,VIC01344,FIR00299,Direct Involvement
OFF01943,VIC01717,FIR00300,Known Associate
OFF00320,VIC00565,FIR00301,Known Associate
OFF00046,VIC01215,FIR00302,Direct Involvement
OFF00048,VIC01521,FIR00303,Direct Involvement
OFF01719,VIC01114,FIR00304,Known Associate
OFF01031,VIC01231,FIR00305,Known Associate
OFF01326,VIC01338,FIR00306,Direct Involvement
OFF00471,VIC02888,FIR00307,Known Associate
OFF00310,VIC02387,FIR00308,Repeat Offender
OFF01715,VIC00969,FIR00309,Direct Involvement
OFF01914,VIC02683,FIR00310,Direct Involvement
OFF00505,VIC01441,FIR00311,Known Associate
OFF01567,VIC01419,FIR00312,Known Associate
OFF00435,VIC02423,FIR00313,Known Associate
OFF01619,VIC01746,FIR00314,Direct Involvement
OFF01227,VIC02068,FIR00315,Direct Involvement
OFF01647,VIC02903,FIR00316,Known Associate
OFF01606,VIC01028,FIR00317,Direct Involvement
OFF00467,VIC00502,FIR00318,Repeat Offender
OFF01971,VIC02208,FIR00319,Direct Involvement
OFF00078,VIC02241,FIR00320,Repeat Offender
OFF00602,VIC02758,FIR00321,Repeat Offender
OFF00131,VIC00474,FIR00322,Repeat Offender
OFF01934,VIC02446,FIR00323,Direct Involvement
OFF00264,VIC02959,FIR00324,Direct Involvement
OFF01325,VIC01784,FIR00325,Known Associate
OFF00861,VIC00236,FIR00326,Direct Involvement
OFF01392,VIC01900,FIR00327,Known Associate
OFF01295,VIC01195,FIR00328,Known Associate
OFF01393,VIC00760,FIR00329,Known Associate
OFF01377,VIC00805,FIR00330,Direct Involvement
OFF00523,VIC01073,FIR00331,Known Associate
OFF01534,VIC01670,FIR00332,Repeat Offender
OFF01883,VIC01016,FIR00333,Repeat Offender
OFF00815,VIC00100,FIR00334,Direct Involvement
OFF00152,VIC02308,FIR00335,Known Associate
OFF00820,VIC01299,FIR00336,Known Associate
OFF01906,VIC01393,FIR00337,Repeat Offender
OFF01985,VIC00468,FIR00338,Known Associate
OFF00688,VIC02439,FIR00339,Known Associate
OFF01498,VIC02892,FIR00340,Repeat Offender
OFF01466,VIC02470,FIR00341,Repeat Offender
OFF00425,VIC02817,FIR00342,Direct Involvement
OFF00765,VIC02734,FIR00343,Direct Involvement
OFF00730,VIC02514,FIR00344,Repeat Offender
OFF01180,VIC02753,FIR00345,Known Associate
OFF01769,VIC02664,FIR00346,Repeat Offender
OFF01510,VIC02396,FIR00347,Repeat Offender
OFF00656,VIC00446,FIR00348,Known Associate
OFF01837,VIC01950,FIR00349,Known Associate
OFF01449,VIC00493,FIR00350,Known Associate
OFF01766,VIC02677,FIR00351,Known Associate
OFF00361,VIC00701,FIR00352,Repeat Offender
OFF01115,VIC01079,FIR00353,Repeat Offender
OFF00700,VIC02768,FIR00354,Known Associate
OFF00661,VIC00623,FIR00355,Known Associate
OFF00969,VIC02375,FIR00356,Repeat Offender
OFF01384,VIC01862,FIR00357,Known Associate
OFF01659,VIC02570,FIR00358,Known Associate
OFF00011,VIC02804,FIR00359,Direct Involvement
OFF00005,VIC00039,FIR00360,Direct Involvement
OFF00358,VIC01343,FIR00361,Repeat Offender
OFF01200,VIC02297,FIR00362,Repeat Offender
OFF00787,VIC02703,FIR00363,Direct Involvement
OFF01169,VIC00869,FIR00364,Direct Involvement
OFF01532,VIC02367,FIR00365,Direct Involvement
OFF01284,VIC01597,FIR00366,Known Associate
OFF01576,VIC01544,FIR00367,Direct Involvement
OFF01281,VIC01896,FIR00368,Repeat Offender
OFF00282,VIC01146,FIR00369,Direct Involvement
OFF01420,VIC02055,FIR00370,Known Associate
OFF00663,VIC00238,FIR00371,Direct Involvement
OFF00160,VIC00840,FIR00372,Known Associate
OFF00641,VIC02389,FIR00373,Direct Involvement
OFF00504,VIC02245,FIR00374,Known Associate
OFF00912,VIC01808,FIR00375,Known Associate
OFF01502,VIC00407,FIR00376,Repeat Offender
OFF01834,VIC01437,FIR00377,Known Associate
OFF01082,VIC02075,FIR00378,Repeat Offender
OFF00473,VIC02846,FIR00379,Known Associate
OFF00377,VIC00268,FIR00380,Repeat Offender
OFF00445,VIC02141,FIR00381,Direct Involvement
OFF01656,VIC00973,FIR00382,Direct Involvement
OFF01540,VIC01759,FIR00383,Direct Involvement
OFF01410,VIC01769,FIR00384,Repeat Offender
OFF00554,VIC01488,FIR00385,Known Associate
OFF00709,VIC00258,FIR00386,Repeat Offender
OFF00635,VIC00820,FIR00387,Direct Involvement
OFF00981,VIC02143,FIR00388,Repeat Offender
OFF01464,VIC02472,FIR00389,Repeat Offender
OFF01169,VIC01841,FIR00390,Direct Involvement
OFF00314,VIC02431,FIR00391,Direct Involvement
OFF01682,VIC02970,FIR00392,Known Associate
OFF01145,VIC02686,FIR00393,Repeat Offender
OFF01046,VIC00744,FIR00394,Known Associate
OFF00765,VIC00703,FIR00395,Known Associate
OFF01085,VIC01092,FIR00396,Direct Involvement
OFF00321,VIC01536,FIR00397,Repeat Offender
OFF01425,VIC00056,FIR00398,Known Associate
OFF01947,VIC00332,FIR00399,Known Associate
OFF00110,VIC00748,FIR00400,Direct Involvement
OFF00935,VIC02254,FIR00401,Repeat Offender
OFF01052,VIC02966,FIR00402,Known Associate
OFF00168,VIC02823,FIR00403,Direct Involvement
OFF01883,VIC00604,FIR00404,Repeat Offender
OFF01276,VIC00795,FIR00405,Known Associate
OFF01208,VIC01480,FIR00406,Known Associate
OFF00117,VIC02542,FIR00407,Direct Involvement
OFF01147,VIC02974,FIR00408,Repeat Offender
OFF01554,VIC02931,FIR00409,Known Associate
OFF01508,VIC02600,FIR00410,Repeat Offender
OFF01053,VIC00290,FIR00411,Repeat Offender
OFF00016,VIC00752,FIR00412,Known Associate
OFF00663,VIC02639,FIR00413,Direct Involvement
OFF00015,VIC01953,FIR00414,Repeat Offender
OFF01410,VIC02823,FIR00415,Direct Involvement
OFF01613,VIC02964,FIR00416,Repeat Offender
OFF01811,VIC00651,FIR00417,Known Associate
OFF00669,VIC02692,FIR00418,Direct Involvement
OFF01647,VIC01826,FIR00419,Repeat Offender
OFF01550,VIC00540,FIR00420,Repeat Offender
OFF01390,VIC02299,FIR00421,Known Associate
OFF01285,VIC01532,FIR00422,Repeat Offender
OFF01261,VIC02297,FIR00423,Known Associate
OFF01653,VIC01728,FIR00424,Repeat Offender
OFF00395,VIC01383,FIR00425,Repeat Offender
OFF00840,VIC02111,FIR00426,Known Associate
OFF01228,VIC02688,FIR00427,Known Associate
OFF00745,VIC01688,FIR00428,Known Associate
OFF01567,VIC01510,FIR00429,Known Associate
OFF01935,VIC00747,FIR00430,Direct Involvement
OFF01844,VIC00744,FIR00431,Known Associate
OFF00284,VIC02873,FIR00432,Direct Involvement
OFF01737,VIC02824,FIR00433,Direct Involvement
OFF01125,VIC01908,FIR00434,Direct Involvement
OFF00779,VIC02427,FIR00435,Direct Involvement
OFF01031,VIC02603,FIR00436,Direct Involvement
OFF01619,VIC00092,FIR00437,Direct Involvement
OFF00744,VIC01252,FIR00438,Direct Involvement
OFF00057,VIC01080,FIR00439,Repeat Offender
OFF00266,VIC01991,FIR00440,Direct Involvement
OFF01156,VIC01897,FIR00441,Direct Involvement
OFF01612,VIC01920,FIR00442,Repeat Offender
OFF01932,VIC01550,FIR00443,Known Associate
OFF00909,VIC00304,FIR00444,Repeat Offender
OFF00736,VIC01530,FIR00445,Repeat Offender
OFF01968,VIC00160,FIR00446,Repeat Offender
OFF00716,VIC01761,FIR00447,Direct Involvement
OFF00119,VIC00800,FIR00448,Direct Involvement
OFF00546,VIC00022,FIR00449,Known Associate
OFF00066,VIC00698,FIR00450,Known Associate
OFF00927,VIC02930,FIR00451,Repeat Offender
OFF01442,VIC01722,FIR00452,Known Associate
OFF00692,VIC00495,FIR00453,Repeat Offender
OFF00341,VIC02698,FIR00454,Known Associate
OFF00541,VIC02644,FIR00455,Known Associate
OFF01744,VIC00955,FIR00456,Known Associate
OFF00433,VIC00071,FIR00457,Direct Involvement
OFF00959,VIC02097,FIR00458,Known Associate
OFF01449,VIC02704,FIR00459,Repeat Offender
OFF01281,VIC02315,FIR00460,Repeat Offender
OFF00281,VIC02696,FIR00461,Direct Involvement
OFF00290,VIC02846,FIR00462,Known Associate
OFF00361,VIC00443,FIR00463,Direct Involvement
OFF00194,VIC00701,FIR00464,Known Associate
OFF00373,VIC01585,FIR00465,Direct Involvement
OFF00558,VIC01574,FIR00466,Repeat Offender
OFF00310,VIC02473,FIR00467,Known Associate
OFF00930,VIC02677,FIR00468,Known Associate
OFF01663,VIC02599,FIR00469,Repeat Offender
OFF00921,VIC01994,FIR00470,Known Associate
OFF00779,VIC00582,FIR00471,Known Associate
OFF01997,VIC02896,FIR00472,Known Associate
OFF01605,VIC00046,FIR00473,Known Associate
OFF00580,VIC02809,FIR00474,Direct Involvement
OFF00563,VIC02917,FIR00475,Direct Involvement
OFF00103,VIC00773,FIR00476,Direct Involvement
OFF00987,VIC01913,FIR00477,Known Associate
OFF00131,VIC01054,FIR00478,Direct Involvement
OFF01897,VIC00875,FIR00479,Direct Involvement
OFF01489,VIC02270,FIR00480,Direct Involvement
OFF00060,VIC02447,FIR00481,Known Associate
OFF01322,VIC01457,FIR00482,Repeat Offender
OFF01359,VIC01755,FIR00483,Direct Involvement
OFF01846,VIC01014,FIR00484,Known Associate
OFF00370,VIC01033,FIR00485,Repeat Offender
OFF01295,VIC01732,FIR00486,Known Associate
OFF00598,VIC01830,FIR00487,Direct Involvement
OFF01346,VIC02365,FIR00488,Repeat Offender
OFF00286,VIC02976,FIR00489,Known Associate
OFF00501,VIC02264,FIR00490,Direct Involvement
OFF00699,VIC00338,FIR00491,Direct Involvement
OFF01279,VIC00347,FIR00492,Known Associate
OFF01781,VIC00733,FIR00493,Repeat Offender
OFF00329,VIC01248,FIR00494,Direct Involvement
OFF00396,VIC00686,FIR00495,Direct Involvement
OFF01882,VIC01416,FIR00496,Known Associate
OFF01407,VIC01362,FIR00497,Known Associate
OFF01343,VIC02920,FIR00498,Direct Involvement
OFF00452,VIC00287,FIR00499,Known Associate
OFF01759,VIC00594,FIR00500,Known Associate
OFF01301,VIC02649,FIR00501,Repeat Offender
OFF00585,VIC01076,FIR00502,Known Associate
OFF00610,VIC01396,FIR00503,Known Associate
OFF00214,VIC01409,FIR00504,Direct Involvement
OFF01781,VIC02281,FIR00505,Direct Involvement
OFF00343,VIC00707,FIR00506,Direct Involvement
OFF00100,VIC00063,FIR00507,Known Associate
OFF00447,VIC01239,FIR00508,Known Associate
OFF01207,VIC01243,FIR00509,Direct Involvement
OFF00197,VIC02787,FIR00510,Direct Involvement
OFF00452,VIC00865,FIR00511,Known Associate
OFF01111,VIC01069,FIR00512,Known Associate
OFF00994,VIC01185,FIR00513,Known Associate
OFF01806,VIC01975,FIR00514,Known Associate
OFF00812,VIC01774,FIR00515,Known Associate
OFF01578,VIC02233,FIR00516,Repeat Offender
OFF00796,VIC00203,FIR00517,Known Associate
OFF01231,VIC00671,FIR00518,Known Associate
OFF00888,VIC00319,FIR00519,Direct Involvement
OFF00272,VIC01939,FIR00520,Direct Involvement
OFF01791,VIC02285,FIR00521,Known Associate
OFF01740,VIC02749,FIR00522,Direct Involvement
OFF01933,VIC00285,FIR00523,Known Associate
OFF01445,VIC00318,FIR00524,Known Associate
OFF01024,VIC01143,FIR00525,Direct Involvement
OFF01219,VIC02281,FIR00526,Repeat Offender
OFF00473,VIC02699,FIR00527,Direct Involvement
OFF00081,VIC02899,FIR00528,Known Associate
OFF01166,VIC00069,FIR00529,Repeat Offender
OFF00532,VIC00843,FIR00530,Repeat Offender
OFF00359,VIC01901,FIR00531,Repeat Offender
OFF01305,VIC00425,FIR00532,Direct Involvement
OFF00342,VIC00071,FIR00533,Repeat Offender
OFF01229,VIC00340,FIR00534,Repeat Offender
OFF00164,VIC01651,FIR00535,Repeat Offender
OFF01181,VIC02367,FIR00536,Direct Involvement
OFF01331,VIC02822,FIR00537,Repeat Offender
OFF00557,VIC02156,FIR00538,Direct Involvement
OFF01045,VIC02510,FIR00539,Repeat Offender
OFF00301,VIC00069,FIR00540,Known Associate
OFF00932,VIC00502,FIR00541,Known Associate
OFF01248,VIC00840,FIR00542,Known Associate
OFF01535,VIC00784,FIR00543,Direct Involvement
OFF00747,VIC00050,FIR00544,Known Associate
OFF00211,VIC02677,FIR00545,Repeat Offender
OFF01847,VIC02301,FIR00546,Known Associate
OFF00413,VIC01550,FIR00547,Known Associate
OFF00796,VIC01722,FIR00548,Direct Involvement
OFF00737,VIC01313,FIR00549,Repeat Offender
OFF01300,VIC00238,FIR00550,Known Associate
OFF00613,VIC02584,FIR00551,Repeat Offender
