FIR_ID,Crime_Type,Date,District,Police_Station,Location_ID,Status,Offender_ID,Victim_ID
FIR00131,Drug Offense,2024-12-18,Bengaluru Urban,East PS,LOC054,Open,OFF00119,VIC00666
FIR00132,Cyber Crime,2023-09-27,Chikkamagaluru,West PS,LOC088,Open,OFF00725,VIC00477
FIR00133,Drug Offense,2022-03-25,Davanagere,Traffic PS,LOC072,Closed,OFF01769,VIC02283
FIR00134,Burglary,2024-03-09,Vijayapura,East PS,LOC001,Closed,OFF01372,VIC02050
FIR00135,Theft,2023-08-19,Ballari,Rural PS,LOC066,Open,OFF01214,VIC01638
FIR00136,Financial Fraud,2023-04-15,Mangaluru,West PS,LOC002,Under Investigation,OFF01466,VIC01795
FIR00137,Domestic Violence,2023-11-28,Kalaburagi,East PS,LOC029,Under Investigation,OFF01329,VIC02911
FIR00138,Assault,2023-08-25,Belagavi,Traffic PS,LOC010,Under Investigation,OFF00837,VIC01803
FIR00139,Robbery,2025-10-01,Hubballi-Dharwad,Traffic PS,LOC032,Closed,OFF01646,VIC00106
FIR00140,Drug Offense,2023-09-23,Shivamogga,Cyber PS,LOC019,Closed,OFF01092,VIC02888
FIR00141,Murder,2024-11-16,Ballari,Cyber PS,LOC026,Under Investigation,OFF01825,VIC00207
FIR00142,Assault,2022-02-16,Udupi,North PS,LOC015,Under Investigation,OFF00314,VIC00327
FIR00143,Assault,2024-01-25,Bengaluru Urban,Central PS,LOC065,Under Investigation,OFF00508,VIC00024
FIR00144,Domestic Violence,2024-10-22,Ballari,Cyber PS,LOC026,Open,OFF00065,VIC02209
FIR00145,Financial Fraud,2023-11-11,Kalaburagi,North PS,LOC043,Open,OFF00730,VIC00787
FIR00146,Financial Fraud,2025-06-03,Tumakuru,West PS,LOC042,Open,OFF01677,VIC02441
FIR00147,Theft,2023-11-28,Ballari,Cyber PS,LOC026,Closed,OFF01515,VIC01193
FIR00148,Theft,2025-08-01,Bengaluru Rural,East PS,LOC081,Closed,OFF00678,VIC00667
FIR00149,Assault,2023-02-24,Hubballi-Dharwad,North PS,LOC099,Open,OFF00603,VIC00946
FIR00150,Domestic Violence,2023-02-02,Bengaluru Urban,North PS,LOC014,Closed,OFF00181,VIC00419
FIR00151,Financial Fraud,2023-10-08,Udupi,Central PS,LOC007,Open,OFF00582,VIC00297
FIR00152,Burglary,2023-03-31,Shivamogga,South PS,LOC030,Open,OFF00211,VIC00350
FIR00153,Financial Fraud,2022-07-13,Chikkamagaluru,Rural PS,LOC051,Under Investigation,OFF00222,VIC00448
FIR00154,Vehicle Theft,2024-12-13,Mangaluru,West PS,LOC036,Under Investigation,OFF00599,VIC02614
FIR00155,Theft,2025-01-19,Ballari,West PS,LOC089,Under Investigation,OFF00261,VIC01006
FIR00156,Murder,2023-05-09,Hubballi-Dharwad,West PS,LOC034,Open,OFF00300,VIC02541
FIR00157,Assault,2025-10-22,Mangaluru,Central PS,LOC070,Closed,OFF01728,VIC02646
FIR00158,Drug Offense,2022-10-03,Vijayapura,South PS,LOC083,Under Investigation,OFF01131,VIC00053
FIR00159,Theft,2023-04-08,Chikkamagaluru,East PS,LOC074,Closed,OFF01889,VIC02795
FIR00160,Robbery,2022-06-07,Bengaluru Rural,North PS,LOC046,Under Investigation,OFF00292,VIC01039
FIR00161,Fraud,2024-10-14,Udupi,North PS,LOC015,Closed,OFF00444,VIC01759
FIR00162,Domestic Violence,2024-08-03,Chikkamagaluru,Central PS,LOC084,Closed,OFF00101,VIC02990
FIR00163,Theft,2024-12-10,Udupi,North PS,LOC060,Open,OFF01449,VIC00332
FIR00164,Theft,2023-03-04,Mysuru,Central PS,LOC067,Open,OFF00509,VIC00900
FIR00165,Fraud,2022-08-07,Belagavi,Traffic PS,LOC010,Closed,OFF01679,VIC00870
FIR00166,Burglary,2025-01-30,Kalaburagi,Traffic PS,LOC100,Under Investigation,OFF01981,VIC01091
FIR00167,Assault,2022-01-27,Mysuru,Rural PS,LOC027,Under Investigation,OFF01850,VIC01628
FIR00168,Vehicle Theft,2023-11-15,Kalaburagi,North PS,LOC043,Under Investigation,OFF00564,VIC00229
FIR00169,Cyber Crime,2024-10-15,Shivamogga,Cyber PS,LOC019,Under Investigation,OFF01874,VIC01957
FIR00170,Robbery,2025-05-05,Hassan,Central PS,LOC021,Under Investigation,OFF00097,VIC01965
FIR00171,Murder,2022-01-07,Hubballi-Dharwad,West PS,LOC034,Under Investigation,OFF01275,VIC01283
FIR00172,Fraud,2024-03-13,Hubballi-Dharwad,Traffic PS,LOC032,Under Investigation,OFF01091,VIC01406
FIR00173,Theft,2022-10-02,Davanagere,Traffic PS,LOC095,Open,OFF01446,VIC02300
FIR00174,Robbery,2025-05-21,Vijayapura,South PS,LOC073,Open,OFF00276,VIC01730
FIR00175,Murder,2025-08-02,Ballari,Traffic PS,LOC013,Closed,OFF00470,VIC00579
FIR00176,Cyber Crime,2025-01-09,Vijayapura,South PS,LOC035,Open,OFF01919,VIC02174
FIR00177,Domestic Violence,2024-03-24,Kalaburagi,North PS,LOC052,Closed,OFF01083,VIC00370
FIR00178,Murder,2022-02-24,Mysuru,Rural PS,LOC027,Open,OFF01075,VIC00244
FIR00179,Burglary,2023-02-03,Vijayapura,South PS,LOC017,Under Investigation,OFF00909,VIC01057
FIR00180,Murder,2023-03-18,Davanagere,Traffic PS,LOC072,Under Investigation,OFF00422,VIC00505
FIR00181,Robbery,2022-10-30,Chikkamagaluru,East PS,LOC003,Open,OFF01940,VIC00495
FIR00182,Fraud,2023-07-18,Ballari,Cyber PS,LOC026,Closed,OFF00188,VIC01218
FIR00183,Robbery,2022-06-07,Mysuru,East PS,LOC068,Closed,OFF01238,VIC00494
FIR00184,Burglary,2023-08-26,Hassan,Central PS,LOC021,Under Investigation,OFF01222,VIC01474
FIR00185,Financial Fraud,2024-04-14,Udupi,South PS,LOC078,Open,OFF01830,VIC00086
FIR00186,Theft,2025-07-15,Shivamogga,Central PS,LOC033,Closed,OFF01531,VIC02636
FIR00187,Drug Offense,2024-10-05,Ballari,Traffic PS,LOC071,Closed,OFF01746,VIC00664
FIR00188,Domestic Violence,2022-04-05,Mangaluru,West PS,LOC002,Under Investigation,OFF01370,VIC02112
FIR00189,Financial Fraud,2022-08-27,Kalaburagi,East PS,LOC029,Open,OFF01964,VIC02492
FIR00190,Theft,2022-02-06,Tumakuru,East PS,LOC058,Open,OFF00335,VIC02079
FIR00191,Assault,2024-12-01,Hubballi-Dharwad,North PS,LOC099,Closed,OFF00875,VIC01247
FIR00192,Murder,2024-03-25,Bengaluru Urban,East PS,LOC031,Open,OFF00612,VIC02227
FIR00193,Burglary,2024-03-02,Chikkamagaluru,East PS,LOC080,Under Investigation,OFF00473,VIC00050
FIR00194,Fraud,2022-05-29,Mangaluru,North PS,LOC098,Under Investigation,OFF01065,VIC00181
FIR00195,Burglary,2022-07-24,Vijayapura,North PS,LOC096,Open,OFF00939,VIC02072
FIR00196,Fraud,2023-11-29,Vijayapura,Central PS,LOC079,Open,OFF01705,VIC00567
FIR00197,Domestic Violence,2024-11-08,Davanagere,North PS,LOC044,Open,OFF01403,VIC00277
FIR00198,Robbery,2025-03-17,Hassan,East PS,LOC055,Closed,OFF01469,VIC01480
FIR00199,Drug Offense,2024-09-20,Kalaburagi,Traffic PS,LOC008,Under Investigation,OFF01732,VIC01824
FIR00200,Murder,2022-10-20,Bengaluru Rural,West PS,LOC018,Open,OFF00044,VIC02482
FIR00201,Cyber Crime,2023-06-25,Davanagere,Traffic PS,LOC072,Under Investigation,OFF01081,VIC01451
FIR00202,Assault,2022-08-26,Hubballi-Dharwad,North PS,LOC039,Closed,OFF00721,VIC00139
FIR00203,Domestic Violence,2022-01-11,Bengaluru Urban,East PS,LOC054,Closed,OFF00335,VIC00942
FIR00204,Cyber Crime,2023-12-03,Bengaluru Urban,Central PS,LOC065,Open,OFF01655,VIC02216
FIR00205,Domestic Violence,2025-09-28,Tumakuru,West PS,LOC042,Under Investigation,OFF00742,VIC01075
FIR00206,Drug Offense,2022-10-07,Chikkamagaluru,Central PS,LOC084,Open,OFF00683,VIC00001
FIR00207,Kidnapping,2023-04-24,Mangaluru,West PS,LOC036,Closed,OFF00071,VIC00072
FIR00208,Theft,2022-09-12,Udupi,South PS,LOC078,Open,OFF01401,VIC00575
FIR00209,Vehicle Theft,2024-01-29,Kalaburagi,North PS,LOC052,Under Investigation,OFF01071,VIC00419
FIR00210,Murder,2022-02-06,Kalaburagi,Traffic PS,LOC100,Open,OFF00968,VIC01078
FIR00211,Murder,2024-01-25,Udupi,Central PS,LOC007,Under Investigation,OFF01256,VIC00928
FIR00212,Cyber Crime,2022-05-13,Bengaluru Urban,Cyber PS,LOC062,Closed,OFF00123,VIC01451
FIR00213,Theft,2023-01-08,Hassan,Rural PS,LOC064,Under Investigation,OFF01255,VIC02090
FIR00214,Murder,2023-06-07,Chikkamagaluru,West PS,LOC088,Open,OFF01604,VIC01018
FIR00215,Financial Fraud,2025-05-09,Mangaluru,Cyber PS,LOC069,Under Investigation,OFF00506,VIC00177
FIR00216,Drug Offense,2025-07-05,Davanagere,Rural PS,LOC011,Under Investigation,OFF00690,VIC00018
FIR00217,Kidnapping,2024-02-09,Mysuru,East PS,LOC068,Closed,OFF00655,VIC01280
FIR00218,Murder,2025-08-07,Ballari,North PS,LOC047,Under Investigation,OFF01792,VIC00845
FIR00219,Kidnapping,2025-10-16,Chikkamagaluru,East PS,LOC080,Closed,OFF00808,VIC01731
FIR00220,Cyber Crime,2024-12-05,Tumakuru,North PS,LOC005,Open,OFF01740,VIC00358
FIR00221,Murder,2024-01-20,Hassan,East PS,LOC055,Closed,OFF00785,VIC00421
FIR00222,Assault,2025-03-10,Shivamogga,Traffic PS,LOC016,Open,OFF00888,VIC02098
FIR00223,Robbery,2025-03-03,Bengaluru Rural,East PS,LOC040,Closed,OFF01539,VIC01310
FIR00224,Cyber Crime,2024-10-21,Kalaburagi,North PS,LOC006,Under Investigation,OFF00199,VIC00655
FIR00225,Burglary,2023-02-03,Mangaluru,North PS,LOC098,Open,OFF00684,VIC00884
FIR00226,Assault,2023-01-14,Davanagere,Traffic PS,LOC095,Closed,OFF01078,VIC00004
FIR00227,Drug Offense,2024-05-30,Udupi,Cyber PS,LOC092,Under Investigation,OFF00185,VIC01246
FIR00228,Drug Offense,2022-04-23,Mysuru,Rural PS,LOC027,Under Investigation,OFF00421,VIC02407
FIR00229,Domestic Violence,2022-02-17,Kalaburagi,North PS,LOC043,Closed,OFF00894,VIC02209
FIR00230,Kidnapping,2024-03-26,Vijayapura,South PS,LOC017,Open,OFF01974,VIC01204
FIR00231,Theft,2024-05-05,Tumakuru,West PS,LOC042,Under Investigation,OFF00153,VIC00541
FIR00232,Financial Fraud,2022-12-23,Ballari,Rural PS,LOC066,Open,OFF01862,VIC02612
FIR00233,Financial Fraud,2025-02-24,Vijayapura,Traffic PS,LOC045,Open,OFF00691,VIC00073
FIR00234,Assault,2025-05-27,Mysuru,Central PS,LOC067,Closed,OFF00746,VIC00827
FIR00235,Murder,2025-09-18,Shivamogga,Cyber PS,LOC019,Closed,OFF00662,VIC02909
FIR00236,Domestic Violence,2023-05-15,Shivamogga,South PS,LOC030,Open,OFF01305,VIC00868
FIR00237,Theft,2025-02-23,Bengaluru Urban,East PS,LOC031,Closed,OFF01974,VIC02487
FIR00238,Drug Offense,2023-12-07,Bengaluru Rural,West PS,LOC028,Under Investigation,OFF00512,VIC00449
FIR00239,Financial Fraud,2022-10-19,Hassan,Central PS,LOC037,Under Investigation,OFF01405,VIC01124
FIR00240,Fraud,2024-06-08,Vijayapura,South PS,LOC083,Open,OFF01479,VIC01120
FIR00241,Drug Offense,2022-10-29,Hubballi-Dharwad,West PS,LOC034,Under Investigation,OFF00804,VIC01590
FIR00242,Kidnapping,2025-01-20,Davanagere,Traffic PS,LOC072,Open,OFF01642,VIC00328
FIR00243,Cyber Crime,2025-09-15,Tumakuru,East PS,LOC058,Open,OFF00632,VIC01355
FIR00244,Murder,2024-02-23,Belagavi,Central PS,LOC090,Closed,OFF01509,VIC01759
FIR00245,Kidnapping,2024-04-13,Ballari,Traffic PS,LOC071,Open,OFF01013,VIC01414
FIR00246,Domestic Violence,2022-01-31,Hassan,West PS,LOC041,Closed,OFF00884,VIC00089
FIR00247,Kidnapping,2022-07-21,Udupi,Traffic PS,LOC049,Under Investigation,OFF01924,VIC02876
FIR00248,Domestic Violence,2023-01-25,Udupi,Central PS,LOC059,Closed,OFF01869,VIC02398
FIR00249,Robbery,2023-11-21,Shivamogga,South PS,LOC030,Closed,OFF00353,VIC00195
FIR00250,Drug Offense,2023-07-01,Tumakuru,East PS,LOC058,Under Investigation,OFF00460,VIC02321
FIR00251,Murder,2023-05-08,Bengaluru Urban,East PS,LOC054,Closed,OFF00538,VIC01751
FIR00252,Kidnapping,2023-07-11,Shivamogga,South PS,LOC063,Open,OFF01128,VIC02174
FIR00253,Vehicle Theft,2022-12-03,Bengaluru Rural,East PS,LOC081,Open,OFF00175,VIC00388
FIR00254,Kidnapping,2022-01-14,Udupi,North PS,LOC060,Under Investigation,OFF01747,VIC00322
FIR00255,Drug Offense,2025-05-14,Hassan,Rural PS,LOC064,Closed,OFF01129,VIC02726
FIR00256,Robbery,2022-04-23,Kalaburagi,North PS,LOC052,Closed,OFF00265,VIC00349
FIR00257,Robbery,2023-02-18,Mangaluru,Cyber PS,LOC061,Open,OFF00196,VIC00904
FIR00258,Murder,2023-01-31,Bengaluru Urban,East PS,LOC054,Closed,OFF00991,VIC00368
FIR00259,Robbery,2022-04-09,Tumakuru,East PS,LOC058,Closed,OFF00711,VIC00471
FIR00260,Murder,2022-04-25,Hubballi-Dharwad,North PS,LOC082,Under Investigation,OFF00402,VIC02478
FIR00261,Cyber Crime,2022-06-14,Udupi,Cyber PS,LOC092,Under Investigation,OFF00653,VIC02460
